source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
crusoe,16,6245,91813,0.4037791728973389,HLL,SHA-256,0.32435835855530465,4219.382050822123,10
crusoe,16,6245,91813,0.26979861259460447,HLL,xxHash32,0.017382047551084235,6136.449113043478,10
crusoe,16,6245,91813,0.21101853847503663,HLL,Python Hash,0.04148446572926551,6504.070488479264,10
crusoe,16,6245,91813,0.3601165533065796,HLL,RandomHashFamily,0.1614777659547582,6038.051361263417,10
crusoe,64,6245,91813,0.39692935943603513,HLL,SHA-256,0.01898149951819147,6363.539464491106,10
crusoe,64,6245,91813,0.263367748260498,HLL,xxHash32,0.31270239005815265,8197.826425913165,10
crusoe,64,6245,91813,0.21117331981658935,HLL,Python Hash,0.0022263446326647326,6258.903522230991,10
crusoe,64,6245,91813,0.36033034324645996,HLL,RandomHashFamily,0.12329079889782504,6044.278609724298,10
crusoe,256,6245,91813,0.39995012283325193,HLL,SHA-256,0.03171309827367828,6443.048298719121,10
crusoe,256,6245,91813,0.2684983730316162,HLL,xxHash32,0.037434999404071974,6011.2184287215705,10
crusoe,256,6245,91813,0.21194372177124024,HLL,Python Hash,0.04403658619000859,5969.991519243397,10
crusoe,256,6245,91813,0.36600892543792723,HLL,RandomHashFamily,0.04194108719279542,6309.18939656878,10
crusoe,512,6245,91813,0.40994288921356203,HLL,SHA-256,0.04020782550680067,5993.902129710029,10
crusoe,512,6245,91813,0.2756560564041138,HLL,xxHash32,0.0037780756046364794,6268.594082150956,10
crusoe,512,6245,91813,0.21751949787139893,HLL,Python Hash,0.04455928448664785,5966.727268380884,10
crusoe,512,6245,91813,0.37137665748596194,HLL,RandomHashFamily,0.028897900405089404,6344.6077237747595,10
dracula,16,9425,124249,0.5427239179611206,HLL,SHA-256,0.04637522262427909,8987.913526766171,10
dracula,16,9425,124249,0.3765428066253662,HLL,xxHash32,0.30831921098253495,6519.091436489608,10
dracula,16,9425,124249,0.29883828163146975,HLL,Python Hash,0.7212516186469101,16222.796505747127,10
dracula,16,9425,124249,0.5096191883087158,HLL,RandomHashFamily,0.24439113330547943,10307.991095762507,10
dracula,64,9425,124249,0.5427832841873169,HLL,SHA-256,0.06271131355615674,8833.945869733225,10
dracula,64,9425,124249,0.35566837787628175,HLL,xxHash32,0.11881734234081984,8305.146548437771,10
dracula,64,9425,124249,0.29330618381500245,HLL,Python Hash,0.09793289380805628,10348.01752414093,10
dracula,64,9425,124249,0.5084798097610473,HLL,RandomHashFamily,0.09703473212724599,9158.288054158595,10
dracula,256,9425,124249,0.5511902570724487,HLL,SHA-256,0.03332491883672989,9110.91263996382,10
dracula,256,9425,124249,0.3647172927856445,HLL,xxHash32,0.023623882427145245,9202.344908124156,10
dracula,256,9425,124249,0.29404501914978026,HLL,Python Hash,0.0003802787068556865,9428.584126812115,10
dracula,256,9425,124249,0.49577796459198,HLL,RandomHashFamily,0.07008334788532226,9494.63340420031,10
dracula,512,9425,124249,0.549977445602417,HLL,SHA-256,0.015941075696434097,9575.244638438891,10
dracula,512,9425,124249,0.37080399990081786,HLL,xxHash32,0.0038800849414562027,9461.569800573225,10
dracula,512,9425,124249,0.29007678031921386,HLL,Python Hash,0.03765483076195839,9779.896779931458,10
dracula,512,9425,124249,0.4997174978256226,HLL,RandomHashFamily,0.041016483073850106,9236.924977381837,10
iliad,16,8925,124944,0.5405045270919799,HLL,SHA-256,0.3271610289024531,6005.087817045606,10
iliad,16,8925,124944,0.3598454475402832,HLL,xxHash32,0.0040519646080654295,8961.163784126984,10
iliad,16,8925,124944,0.2847093343734741,HLL,Python Hash,0.04158676105593752,8553.838157575756,10
iliad,16,8925,124944,0.500475811958313,HLL,RandomHashFamily,0.1728549265935268,8533.209412894363,10
iliad,64,8925,124944,0.5474258184432983,HLL,SHA-256,0.10281773075273049,8007.35175303188,10
iliad,64,8925,124944,0.36263446807861327,HLL,xxHash32,0.047164768943859965,8504.05443717605,10
iliad,64,8925,124944,0.2950136661529541,HLL,Python Hash,0.1157624775552748,9958.180112180826,10
