source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
generator,16,99,1000,0.004865884780883789,HLL,SHA-256,0.06550051788437444,105.48455127055307,1
generator,16,99,1000,0.0030012130737304688,HLL,xxHash32,0.2652109450916693,125.25588356407526,1
generator,16,99,1000,0.002000570297241211,HLL,Python Hash,0.09723930285632407,89.37330901722392,1
generator,16,99,1000,0.00409698486328125,HLL,RandomHashFamily,0.0034063154063154067,99.33722522522523,1
generator,64,99,1000,0.003999233245849609,HLL,SHA-256,0.030421802600814674,102.01175845748065,1
generator,64,99,1000,0.0030002593994140625,HLL,xxHash32,0.1430013806523114,84.84286331542117,1
generator,64,99,1000,0.002000570297241211,HLL,Python Hash,0.08216658331906042,107.13449174858698,1
generator,64,99,1000,0.014000415802001953,HLL,RandomHashFamily,0.6481261711033998,163.16449093923657,1
generator,256,99,1000,0.0038437843322753906,HLL,SHA-256,0.028351916389131492,101.80683972252402,1
generator,256,99,1000,0.0029993057250976562,HLL,xxHash32,0.06031477866672535,93.02883691199419,1
generator,256,99,1000,0.003000020980834961,HLL,Python Hash,0.07480141927742699,91.59465949153473,1
generator,256,99,1000,0.003598928451538086,HLL,RandomHashFamily,0.24788987203903529,123.54109733186449,1
generator,512,99,1000,0.004000186920166016,HLL,SHA-256,0.012062597725744695,100.19419717484872,1
generator,512,99,1000,0.0034651756286621094,HLL,xxHash32,0.02465980867206478,96.55867894146559,1
generator,512,99,1000,0.0029993057250976562,HLL,Python Hash,0.06112330053361395,92.94879324717222,1
generator,512,99,1000,0.004000186920166016,HLL,RandomHashFamily,0.09877605476431311,108.778829421667,1
generator,16,959,10000,0.04599905014038086,HLL,SHA-256,0.3352646887330882,637.4811635049684,1
generator,16,959,10000,0.03099989891052246,HLL,xxHash32,0.036425337426016044,993.9318985915494,1
generator,16,959,10000,0.025599241256713867,HLL,Python Hash,0.06616498785219374,895.5477766497462,1
generator,16,959,10000,0.044101715087890625,HLL,RandomHashFamily,0.1423519935052781,822.4844382284383,1
generator,64,959,10000,0.04611706733703613,HLL,SHA-256,0.14215412708084518,822.6741921294695,1
generator,64,959,10000,0.031716108322143555,HLL,xxHash32,0.019168632252248973,940.6172816700932,1
generator,64,959,10000,0.026462078094482422,HLL,Python Hash,0.03466745716867361,992.246091424758,1
generator,64,959,10000,0.05164694786071777,HLL,RandomHashFamily,0.0961111237661771,1051.1705676917638,1
generator,256,959,10000,0.04634523391723633,HLL,SHA-256,0.08729677607176084,875.2823917471814,1
generator,256,959,10000,0.03200197219848633,HLL,xxHash32,0.010439306817878635,948.9887047616544,1
generator,256,959,10000,0.024652719497680664,HLL,Python Hash,0.04634450671661598,1003.4443819412347,1
generator,256,959,10000,0.04172778129577637,HLL,RandomHashFamily,0.11099723996371878,1065.4463531252063,1
generator,512,959,10000,0.04736495018005371,HLL,SHA-256,0.011463849876060367,969.9938320311419,1
generator,512,959,10000,0.03287506103515625,HLL,xxHash32,0.002226373767348354,956.8649075571129,1
generator,512,959,10000,0.02599930763244629,HLL,Python Hash,0.04730881656309449,1004.3691550840076,1
generator,512,959,10000,0.04200124740600586,HLL,RandomHashFamily,0.43757272016849463,1378.6322386415864,1
generator,16,17236,100000,0.446683406829834,HLL,SHA-256,0.04783977289286355,16411.433674418604,1
generator,16,17236,100000,0.30957698822021484,HLL,xxHash32,0.03093752034066582,16702.760899408284,1
generator,16,17236,100000,0.24807977676391602,HLL,Python Hash,1.0141006494994924,34715.03879477325,1
generator,16,17236,100000,0.422931432723999,HLL,RandomHashFamily,0.43974996977958225,24815.53047912088,1
generator,64,17236,100000,0.45266103744506836,HLL,SHA-256,0.0055792560708336145,17139.835942363112,1
generator,64,17236,100000,0.31053876876831055,HLL,xxHash32,0.09154289646001021,18813.833363384736,1
generator,64,17236,100000,0.25115323066711426,HLL,Python Hash,0.14434261114485203,19723.88924569267,1
generator,64,17236,100000,0.4233286380767822,HLL,RandomHashFamily,0.11688139792539952,19250.567774642186,1
generator,256,17236,100000,0.45191001892089844,HLL,SHA-256,0.02250433593930617,16848.11526575012,1
generator,256,17236,100000,0.31412625312805176,HLL,xxHash32,0.008766181618286257,17387.093906372782,1
generator,256,17236,100000,0.24953722953796387,HLL,Python Hash,0.019957209514801608,17579.98246319712,1
generator,256,17236,100000,0.4140176773071289,HLL,RandomHashFamily,0.10288973504132964,15462.592526827642,1
generator,512,17236,100000,0.4954061508178711,HLL,SHA-256,0.023009814041424638,16839.402845182005,1
generator,512,17236,100000,0.353651762008667,HLL,xxHash32,0.0029641714851656054,17184.909540281686,1
generator,512,17236,100000,0.2541053295135498,HLL,Python Hash,0.005209057732380161,17325.783319075304,1
generator,512,17236,100000,0.4155244827270508,HLL,RandomHashFamily,0.029566591272661643,17745.609767175596,1
generator,16,1000,100000,0.44943857192993164,HLL,SHA-256,0.32340206327900284,676.5979367209972,1
generator,16,1000,100000,0.3106694221496582,HLL,xxHash32,0.09071352086553339,1090.7135208655334,1
generator,16,1000,100000,0.24548697471618652,HLL,Python Hash,0.10445222335025381,895.5477766497462,1
generator,16,1000,100000,0.4268321990966797,HLL,RandomHashFamily,0.4580405950413224,1458.0405950413224,1
generator,64,1000,100000,0.45870161056518555,HLL,SHA-256,0.16249763120467514,837.5023687953249,1
generator,64,1000,100000,0.30442237854003906,HLL,xxHash32,0.02907225054070409,1029.072250540704,1
generator,64,1000,100000,0.24435901641845703,HLL,Python Hash,0.060164540463458024,1060.164540463458,1
generator,64,1000,100000,0.40645790100097656,HLL,RandomHashFamily,0.029339403253721003,1029.339403253721,1
generator,256,1000,100000,0.44779348373413086,HLL,SHA-256,0.09364487967788261,906.3551203221174,1
generator,256,1000,100000,0.30184388160705566,HLL,xxHash32,0.03242403008343229,967.5759699165677,1
generator,256,1000,100000,0.2477867603302002,HLL,Python Hash,0.03374418870898126,1033.7441887089813,1
generator,256,1000,100000,0.407135009765625,HLL,RandomHashFamily,0.10964577804328064,1109.6457780432806,1
generator,512,1000,100000,0.4472999572753906,HLL,SHA-256,0.00965911970030686,990.3408802996931,1
generator,512,1000,100000,0.31208205223083496,HLL,xxHash32,0.023313262206373565,976.6867377936264,1
generator,512,1000,100000,0.24374771118164062,HLL,Python Hash,0.056735925833661896,1056.735925833662,1
generator,512,1000,100000,0.4099299907684326,HLL,RandomHashFamily,0.47467273365733625,1474.6727336573363,1
generator,16,4580,500000,2.232149839401245,HLL,SHA-256,0.15200856711423102,5276.199237383178,1
generator,16,4580,500000,1.6404297351837158,HLL,xxHash32,0.19749403202328958,3675.4773333333337,1
generator,16,4580,500000,1.2556533813476562,HLL,Python Hash,0.12879960330790027,5169.902183150183,1
generator,16,4580,500000,2.1030054092407227,HLL,RandomHashFamily,0.45188358870698137,6649.626836277975,1
generator,64,4580,500000,2.3149209022521973,HLL,SHA-256,0.010129910562526115,4533.60500962363,1
generator,64,4580,500000,1.5411243438720703,HLL,xxHash32,0.19136314089980366,5456.443185321101,1
generator,64,4580,500000,1.2642295360565186,HLL,Python Hash,0.13036274998775424,3982.9386050560856,1
generator,64,4580,500000,2.200996160507202,HLL,RandomHashFamily,0.13377081725620882,3967.3296569665636,1
generator,256,4580,500000,2.3127784729003906,HLL,SHA-256,0.028598356803186266,4710.980474158593,1
generator,256,4580,500000,1.5226531028747559,HLL,xxHash32,0.08556514692242402,4971.888372904702,1
generator,256,4580,500000,1.2119722366333008,HLL,Python Hash,0.029066586767263432,4446.8750326059335,1
generator,256,4580,500000,2.02824068069458,HLL,RandomHashFamily,0.1074179469193301,5071.974196890532,1
generator,512,4580,500000,2.2465550899505615,HLL,SHA-256,0.06125012209138683,4860.525559178552,1
generator,512,4580,500000,1.544037103652954,HLL,xxHash32,0.03635120557260866,4746.488521522548,1
generator,512,4580,500000,1.2566437721252441,HLL,Python Hash,0.02108976200613905,4483.408890011883,1
generator,512,4580,500000,2.1531553268432617,HLL,RandomHashFamily,0.06203450321099173,4864.118024706342,1
generator,16,3004,1000000,4.3381617069244385,HLL,SHA-256,0.08145717993473671,2759.302631476051,1
generator,16,3004,1000000,2.954942464828491,HLL,xxHash32,0.5429709440505163,4635.084715927751,1
generator,16,3004,1000000,2.371005058288574,HLL,Python Hash,0.3347575354073357,4009.6116363636365,1
generator,16,3004,1000000,4.058807611465454,HLL,RandomHashFamily,0.012952410791213823,2965.0909579831937,1
generator,64,3004,1000000,4.481198787689209,HLL,SHA-256,0.1258379085626325,2625.982922677852,1
generator,64,3004,1000000,3.1424622535705566,HLL,xxHash32,0.14434960875324473,3437.626224694747,1
generator,64,3004,1000000,2.463472843170166,HLL,Python Hash,0.07309556795683171,2784.4209138576775,1
