memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
16,99,1000,0.0019989013671875,REC,SHA-256,0.43434343434343436,56.0,1
16,99,1000,0.0010001659393310547,REC,xxHash32,0.08080808080808081,91.0,1
16,99,1000,0.0,REC,Python Hash,1.3131313131313131,229.0,1
16,99,1000,0.010999917984008789,REC,RandomHashFamily,6.808080808080808,773.0,1
32,99,1000,0.002000570297241211,REC,SHA-256,0.09090909090909091,90.0,1
32,99,1000,0.0010018348693847656,REC,xxHash32,0.06060606060606061,105.0,1
32,99,1000,0.0,REC,Python Hash,0.494949494949495,148.0,1
32,99,1000,0.010998725891113281,REC,RandomHashFamily,6.0,693.0,1
64,99,1000,0.0019981861114501953,REC,SHA-256,0.06060606060606061,93.0,1
64,99,1000,0.002001047134399414,REC,xxHash32,0.010101010101010102,100.0,1
64,99,1000,0.0,REC,Python Hash,0.10101010101010101,109.0,1
64,99,1000,0.012000799179077148,REC,RandomHashFamily,9.191919191919192,1009.0,1
128,99,1000,0.0029985904693603516,REC,SHA-256,0.020202020202020204,101.0,1
128,99,1000,0.0009999275207519531,REC,xxHash32,0.020202020202020204,101.0,1
128,99,1000,0.0009999275207519531,REC,Python Hash,0.020202020202020204,101.0,1
128,99,1000,0.013000249862670898,REC,RandomHashFamily,9.717171717171718,1061.0,1
256,99,1000,0.0029997825622558594,REC,SHA-256,0.3939393939393939,138.0,1
256,99,1000,0.0010001659393310547,REC,xxHash32,0.3939393939393939,138.0,1
256,99,1000,0.0010013580322265625,REC,Python Hash,0.3939393939393939,138.0,1
256,99,1000,0.018131256103515625,REC,RandomHashFamily,9.141414141414142,1004.0,1
512,99,1000,0.0030019283294677734,REC,SHA-256,1.303030303030303,228.0,1
512,99,1000,0.0009984970092773438,REC,xxHash32,1.303030303030303,228.0,1
512,99,1000,0.0009999275207519531,REC,Python Hash,1.303030303030303,228.0,1
512,99,1000,0.027466773986816406,REC,RandomHashFamily,9.484848484848484,1038.0,1
1024,99,1000,0.002542257308959961,REC,SHA-256,3.1818181818181817,414.0,1
1024,99,1000,0.0009980201721191406,REC,xxHash32,3.1818181818181817,414.0,1
1024,99,1000,0.0010001659393310547,REC,Python Hash,3.1818181818181817,414.0,1
1024,99,1000,0.028208017349243164,REC,RandomHashFamily,9.1010101010101,1000.0,1
2048,99,1000,0.002829313278198242,REC,SHA-256,6.97979797979798,790.0,1
2048,99,1000,0.0010004043579101562,REC,xxHash32,6.97979797979798,790.0,1
2048,99,1000,0.0009999275207519531,REC,Python Hash,6.97979797979798,790.0,1
2048,99,1000,0.02993941307067871,REC,RandomHashFamily,11.393939393939394,1227.0,1
16,959,10000,0.019838571548461914,REC,SHA-256,0.5338894681960376,447.0,1
16,959,10000,0.0069997310638427734,REC,xxHash32,0.14285714285714285,822.0,1
16,959,10000,0.003000020980834961,REC,Python Hash,4.9718456725756,5727.0,1
16,959,10000,0.10414767265319824,REC,RandomHashFamily,7.592283628779979,8240.0,1
32,959,10000,0.019000530242919922,REC,SHA-256,0.4358706986444213,541.0,1
32,959,10000,0.008000373840332031,REC,xxHash32,0.29927007299270075,672.0,1
32,959,10000,0.0029990673065185547,REC,Python Hash,2.4765380604796663,3334.0,1
32,959,10000,0.10500144958496094,REC,RandomHashFamily,8.02606882168926,8656.0,1
64,959,10000,0.021309852600097656,REC,SHA-256,0.15328467153284672,812.0,1
64,959,10000,0.007999897003173828,REC,xxHash32,0.13764337851929093,1091.0,1
64,959,10000,0.004999637603759766,REC,Python Hash,1.4713242961418145,2370.0,1
64,959,10000,0.10602974891662598,REC,RandomHashFamily,6.433785192909281,7129.0,1
128,959,10000,0.025219440460205078,REC,SHA-256,0.008342022940563087,967.0,1
128,959,10000,0.013002634048461914,REC,xxHash32,0.2440041710114703,1193.0,1
128,959,10000,0.008432388305664062,REC,Python Hash,0.794577685088634,1721.0,1
128,959,10000,0.10571742057800293,REC,RandomHashFamily,7.91970802919708,8554.0,1
256,959,10000,0.03412032127380371,REC,SHA-256,0.03858185610010428,922.0,1
256,959,10000,0.020999908447265625,REC,xxHash32,0.05943691345151199,1016.0,1
256,959,10000,0.033000946044921875,REC,Python Hash,0.3660062565172054,1310.0,1
256,959,10000,0.12399888038635254,REC,RandomHashFamily,9.584984358706986,10151.0,1
512,959,10000,0.051000118255615234,REC,SHA-256,0.008342022940563087,951.0,1
512,959,10000,0.03900027275085449,REC,xxHash32,0.029197080291970802,987.0,1
512,959,10000,0.03899955749511719,REC,Python Hash,0.1678832116788321,1120.0,1
512,959,10000,0.16898536682128906,REC,RandomHashFamily,10.26903023983316,10807.0,1
1024,959,10000,0.04987049102783203,REC,SHA-256,0.0010427528675703858,960.0,1
1024,959,10000,0.03706502914428711,REC,xxHash32,0.0010427528675703858,960.0,1
1024,959,10000,0.035204172134399414,REC,Python Hash,0.0010427528675703858,960.0,1
1024,959,10000,0.29805946350097656,REC,RandomHashFamily,9.18769551616267,9770.0,1
2048,959,10000,0.04920482635498047,REC,SHA-256,0.25443169968717416,1203.0,1
2048,959,10000,0.03767848014831543,REC,xxHash32,0.25443169968717416,1203.0,1
2048,959,10000,0.03290820121765137,REC,Python Hash,0.25443169968717416,1203.0,1
2048,959,10000,0.6883976459503174,REC,RandomHashFamily,9.465067778936392,10036.0,1
16,17236,100000,0.19304919242858887,REC,SHA-256,0.17492457646785797,14221.0,1
16,17236,100000,0.07100129127502441,REC,xxHash32,0.5219308424228359,8240.0,1
16,17236,100000,0.026999473571777344,REC,Python Hash,2.990891158041309,68787.0,1
16,17236,100000,1.0330371856689453,REC,RandomHashFamily,0.4238222325365514,24541.0,1
32,17236,100000,0.19586968421936035,REC,SHA-256,0.17828962636342538,14163.0,1
32,17236,100000,0.07126092910766602,REC,xxHash32,0.07060802970526804,16019.0,1
32,17236,100000,0.027631521224975586,REC,Python Hash,3.464666976096542,76953.0,1
32,17236,100000,1.0275154113769531,REC,RandomHashFamily,2.7119401253190993,63979.0,1
64,17236,100000,0.20068597793579102,REC,SHA-256,0.05912044557902065,16217.0,1
64,17236,100000,0.07221770286560059,REC,xxHash32,0.3439893246692968,23165.0,1
64,17236,100000,0.03179478645324707,REC,Python Hash,2.4074031097702484,58730.0,1
64,17236,100000,1.0529067516326904,REC,RandomHashFamily,2.8573334880482713,66485.0,1
128,17236,100000,0.2020864486694336,REC,SHA-256,0.04774889765606869,18059.0,1
128,17236,100000,0.08312368392944336,REC,xxHash32,0.03823392898584358,16577.0,1
128,17236,100000,0.04004526138305664,REC,Python Hash,2.5279067068925505,60807.0,1
128,17236,100000,1.0339672565460205,REC,RandomHashFamily,4.125667208168949,88346.0,1
256,17236,100000,0.22815799713134766,REC,SHA-256,0.16071014156416802,20006.0,1
256,17236,100000,0.10413026809692383,REC,xxHash32,0.01844975632397308,16918.0,1
256,17236,100000,0.06664228439331055,REC,Python Hash,1.6116848456718496,45015.0,1
256,17236,100000,1.075951099395752,REC,RandomHashFamily,4.762822000464145,99328.0,1
512,17236,100000,0.32265686988830566,REC,SHA-256,0.08917382223253655,18773.0,1
