source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
crusoe,16,6245,91813,0.18051385879516602,REC,SHA-256,0.5827061649319455,9884.0,10
crusoe,16,6245,91813,0.05395615100860596,REC,xxHash32,0.025620496397117692,6085.0,10
crusoe,16,6245,91813,0.02505660057067871,REC,Python Hash,0.1369095276220977,5390.0,10
crusoe,32,6245,91813,0.1764035701751709,REC,SHA-256,0.08358686949559647,6767.0,10
crusoe,32,6245,91813,0.055499839782714847,REC,xxHash32,0.26389111289031225,7893.0,10
crusoe,32,6245,91813,0.02539091110229492,REC,Python Hash,0.15292233787029622,5290.0,10
crusoe,64,6245,91813,0.1731431007385254,REC,SHA-256,0.0522017614091273,5919.0,10
crusoe,64,6245,91813,0.05495145320892334,REC,xxHash32,0.17758206565252202,7354.0,10
crusoe,64,6245,91813,0.02669713497161865,REC,Python Hash,0.12297838270616493,5477.0,10
crusoe,128,6245,91813,0.1737370014190674,REC,SHA-256,0.2118494795836669,4922.0,10
crusoe,128,6245,91813,0.060551118850708005,REC,xxHash32,0.19071257005604483,7436.0,10
crusoe,128,6245,91813,0.03302834033966064,REC,Python Hash,0.10024019215372301,5619.0,10
crusoe,256,6245,91813,0.19450716972351073,REC,SHA-256,0.04723779023218576,5950.0,10
crusoe,256,6245,91813,0.07958858013153076,REC,xxHash32,0.05028022417934348,6559.0,10
crusoe,256,6245,91813,0.05130040645599365,REC,Python Hash,0.02081665332265813,6115.0,10
crusoe,512,6245,91813,0.25722198486328124,REC,SHA-256,0.007846277021617292,6294.0,10
crusoe,512,6245,91813,0.1401909112930298,REC,xxHash32,0.04179343474779824,6506.0,10
crusoe,512,6245,91813,0.1109814167022705,REC,Python Hash,0.00976781425140112,6184.0,10
crusoe,1024,6245,91813,0.44233725070953367,REC,SHA-256,0.02209767814251401,6383.0,10
crusoe,1024,6245,91813,0.3234635591506958,REC,xxHash32,0.006405124099279423,6205.0,10
crusoe,1024,6245,91813,0.2913681507110596,REC,Python Hash,0.007365892714171337,6199.0,10
crusoe,2048,6245,91813,0.8999208211898804,REC,SHA-256,0.0006405124099279424,6241.0,10
crusoe,2048,6245,91813,0.7709463357925415,REC,xxHash32,0.01521216973578863,6150.0,10
crusoe,2048,6245,91813,0.7519840955734253,REC,Python Hash,0.0006405124099279424,6241.0,10
